일시,AC_출력_1,AC_출력_2
2023-01-01 0:00,0,0
2023-01-01 1:00,0,0
2023-01-01 2:00,0,0
2023-01-01 3:00,0,0
2023-01-01 4:00,0,0
2023-01-01 5:00,0,0
2023-01-01 6:00,0,0
2023-01-01 7:00,3.5,3.496000004
2023-01-01 8:00,7.206666708,8.478333314
2023-01-01 9:00,17.88833332,21.5466667
2023-01-01 10:00,25.74000009,30.23583317
2023-01-01 11:00,27.59749985,33.29999987
2023-01-01 12:00,26.15583324,32.86999957
2023-01-01 13:00,23.48749987,29.33666658
2023-01-01 14:00,16.39000003,22.31416686
2023-01-01 15:00,8.056363583,12.36090925
2023-01-01 16:00,3.734166682,4.417499979
2023-01-01 17:00,3.462500036,3.410000086
2023-01-01 18:00,0,0
2023-01-01 19:00,0,0
2023-01-01 20:00,0,0
2023-01-01 21:00,0,0
2023-01-01 22:00,0,0
2023-01-01 23:00,0,0
2023-01-02 0:00,0,0
2023-01-02 1:00,0,0
2023-01-02 2:00,0,0
2023-01-02 3:00,0,0
2023-01-02 4:00,0,0
2023-01-02 5:00,0,0
2023-01-02 6:00,0,0
2023-01-02 7:00,3.624000072,3.768000031
2023-01-02 8:00,6.65888887,7.837499936
2023-01-02 9:00,19.84636359,23.56700001
2023-01-02 10:00,25.4666667,0
2023-01-02 11:00,29.25333341,35.34000015
2023-01-02 12:00,27.65666691,33.29333369
2023-01-02 13:00,24.44999997,30.42583338
2023-01-02 14:00,16.92000008,23.0916667
2023-01-02 15:00,8.13500003,12.99416677
2023-01-02 16:00,3.79181812,4.729090864
2023-01-02 17:00,3.495000005,3.485000014
2023-01-02 18:00,0,0
2023-01-02 19:00,0,0
2023-01-02 20:00,0,0
2023-01-02 21:00,0,0
2023-01-02 22:00,0,0
2023-01-02 23:00,0,0
2023-01-03 0:00,0,0
2023-01-03 1:00,0,0
2023-01-03 2:00,0,0
2023-01-03 3:00,0,0
2023-01-03 4:00,0,0
2023-01-03 5:00,0,0
2023-01-03 6:00,0,0
2023-01-03 7:00,3.846000099,4.089999994
2023-01-03 8:00,11.23500001,13.90916681
2023-01-03 9:00,21.48750019,26.19916693
2023-01-03 10:00,27.83666674,33.04750013
2023-01-03 11:00,29.52583329,35.63083363
2023-01-03 12:00,28.10999997,35.0649999
2023-01-03 13:00,25.28750006,31.38666709
2023-01-03 14:00,17.5941666,24.04000012
2023-01-03 15:00,8.530833284,13.51333332
2023-01-03 16:00,3.796666682,4.711666723
2023-01-03 17:00,3.533999968,3.495000005
2023-01-03 18:00,0,0
2023-01-03 19:00,0,0
2023-01-03 20:00,0,0
2023-01-03 21:00,0,0
2023-01-03 22:00,0,0
2023-01-03 23:00,0,0
2023-01-04 0:00,0,0
2023-01-04 1:00,0,0
2023-01-04 2:00,0,0
2023-01-04 3:00,0,0
2023-01-04 4:00,0,0
2023-01-04 5:00,0,0
2023-01-04 6:00,0,0
2023-01-04 7:00,3.714285714,4.014999986
2023-01-04 8:00,10.82500005,13.34666661
2023-01-04 9:00,20.91416661,25.46916676
2023-01-04 10:00,27.42416668,32.48750019
2023-01-04 11:00,29.8300001,35.52727231
2023-01-04 12:00,28.32166672,34.93416627
2023-01-04 13:00,25.03249979,31.04916652
2023-01-04 14:00,17.10249996,23.25666698
2023-01-04 15:00,8.340000033,13.18416667
2023-01-04 16:00,3.814999998,4.716666639
